HEI,role,betweenness,closeness,degree,diversity,eccentricity,pagerank,personalized_pagerank,strength
D__FULDA01,1,2238.2819064450623,0.42032509919365163,84.0,1.0,6.0,0.00020239245583825985,0.00020239245583825654,84.0
D__MAGDEBU04,1,3588.2564123806465,0.4322758983809398,114.0,1.0,6.0,0.0003106377192697798,0.00031063771926977774,114.0
D__MUNCHEN06,0,7194.727863670925,0.45147099257629913,228.0,1.0,6.0,0.0006993293445605781,0.0006993293445605876,228.0
D__TRIER02,0,12863.220805026407,0.44163528778913397,168.0,1.0,5.0,0.00043895910778636176,0.0004389591077863633,168.0
D__WOLFENB01,1,1179.94162433539,0.4140191628845184,65.0,1.0,5.0,0.00019035210242796162,0.0001903521024279872,65.0
E__BARCELO01,0,120420.53964509789,0.513767209011264,985.0,1.0,5.0,0.0029863808777988213,0.0029863808777989376,985.0
F__BORDEAU02,0,3706.706557265936,0.4527157430383237,229.0,1.0,6.0,0.0006843072855408829,0.0006843072855409161,229.0
F__DIJON11,0,1143.7132470191239,0.4234141309953584,122.0,1.0,6.0,0.0003518275589768431,0.0003518275589768523,122.0
F__PARIS213,0,3991.2936200681174,0.4286087183503002,168.0,1.0,5.0,0.0005760227179389485,0.0005760227179389485,168.0
HU_BUDAPES03,0,28172.071137790972,0.4692098871267324,491.0,1.0,5.0,0.0013567227663815015,0.0013567227663816208,491.0
HU_BUDAPES41,0,6495.392845525562,0.42281447148191065,132.0,1.0,5.0,0.0005377594013032149,0.0005377594013032237,132.0
HU_SOPRON01,0,8608.076661088797,0.4493090710083459,162.0,1.0,5.0,0.00033878703497773453,0.00033878703497774716,162.0
IRLLETTERK01,3,3672.7494296040973,0.4107567229518449,65.0,1.0,6.0,0.0003628372310638342,0.00036283723106385335,65.0
IRLWATERFO01,0,8237.293950956282,0.4277712648169858,116.0,1.0,6.0,0.0006687925426137924,0.0006687925426137821,116.0
I__MILANO16,0,18410.755581718084,0.470689408055038,383.0,1.0,5.0,0.0008866274234146312,0.0008866274234146606,383.0
I__PERUGIA01,0,31320.052253194055,0.4808199121522694,481.0,1.0,5.0,0.001211141540382056,0.0012111415403820893,481.0
LT_VILNIUS01,0,43238.944751692055,0.4936861094407697,623.0,1.0,5.0,0.0013822234341762851,0.0013822234341763484,623.0
